Event,Time,Healthy People,Ill People,Recoverd people,RIP,
[heal/dead],0.057230133978439776,501,499,1,0, 
[heal/dead],0.11370074689753526,502,498,2,0, 
[sick],0.13666742603890367,501,499,2,0, 
[heal/dead],0.19352545398403015,502,498,3,0, 
[sick],0.24727758554737433,501,499,3,0, 
[heal/dead],0.30375620971182254,502,498,4,0, 
[sick],0.3571130664678942,501,499,4,0, 
[heal/dead],0.4135752256034827,501,498,4,1, 
[sick],0.4612486376588704,500,499,4,1, 
[heal/dead],0.517909805103495,501,498,5,1, 
[heal/dead],0.5757645745763219,502,497,6,1, 
[sick],0.5787039694131502,501,498,6,1, 
[heal/dead],0.6368243331436394,502,497,7,1, 
[heal/dead],0.6934494638632016,503,496,8,1, 
[heal/dead],0.7504030800263868,504,495,9,1, 
[heal/dead],0.8069802818870815,505,494,10,1, 
[heal/dead],0.8639565372052563,506,493,11,1, 
[heal/dead],0.9213657984429292,507,492,12,1, 
[heal/dead],0.9782569568956966,508,491,13,1, 
[heal/dead],1.0353345589577405,508,490,13,2, 
[heal/dead],1.092382205882653,509,489,14,2, 
[heal/dead],1.1489019293775489,510,488,15,2, 
[heal/dead],1.2058835793311198,511,487,16,2, 
[sick],1.247685289831137,510,488,16,2, 
[heal/dead],1.3054375868264014,511,487,17,2, 
[heal/dead],1.3623458130999915,512,486,18,2, 
[heal/dead],1.4190728184635333,513,485,19,2, 
[heal/dead],1.4762522100281767,514,484,20,2, 
[heal/dead],1.5329070848954731,515,483,21,2, 
[heal/dead],1.5898725620119005,516,482,22,2, 
[heal/dead],1.6474077641675582,517,481,23,2, 
[heal/dead],1.7039545836280945,518,480,24,2, 
[heal/dead],1.7624373134162967,519,479,25,2, 
[sick],1.807647134247067,518,480,25,2, 
[heal/dead],1.8647748919059073,518,479,25,3, 
[sick],1.873482221392638,517,480,25,3, 
[heal/dead],1.9299458184970721,518,479,26,3, 
[sick],1.9395450134791024,517,480,26,3, 
[heal/dead],1.9962629216786645,518,479,27,3, 
[sick],2.04593946158809,517,480,27,3, 
[heal/dead],2.1027634446149115,518,479,28,3, 
[heal/dead],2.1602261699267573,519,478,29,3, 
[heal/dead],2.2173982063844067,519,477,29,4, 
[heal/dead],2.2744397768516755,520,476,30,4, 
[heal/dead],2.3323464652301293,521,475,31,4, 
[sick],2.353011583459471,520,476,31,4, 
[heal/dead],2.410764925835268,521,475,32,4, 
[heal/dead],2.4673214922033413,522,474,33,4, 
[heal/dead],2.526911904722673,523,473,34,4, 
[heal/dead],2.583914129005009,524,472,35,4, 
[heal/dead],2.640550100004603,524,471,35,5, 
[heal/dead],2.6970708086572985,525,470,36,5, 
[heal/dead],2.7550753040275873,526,469,37,5, 
[heal/dead],2.8121389397941927,527,468,38,5, 
[heal/dead],2.868958370949504,528,467,39,5, 
[heal/dead],2.925579004269372,529,466,40,5, 
[heal/dead],2.9838039835320886,530,465,41,5, 
[heal/dead],3.040704287693875,531,464,42,5, 
[sick],3.0481854372466635,530,465,42,5, 
[heal/dead],3.105068999417142,531,464,43,5, 
[heal/dead],3.161587268594027,532,463,44,5, 
[heal/dead],3.218254846052417,532,462,44,6, 
[heal/dead],3.274770019506576,533,461,45,6, 
[heal/dead],3.3317549623233838,533,460,45,7, 
[sick],3.3385381245417,532,461,45,7, 
[heal/dead],3.395362793569163,533,460,46,7, 
[heal/dead],3.4525826460434494,534,459,47,7, 
[heal/dead],3.509440503189124,535,458,48,7, 
[heal/dead],3.566871176389778,536,457,49,7, 
[heal/dead],3.623421598520801,537,456,50,7, 
[heal/dead],3.681457940670194,538,455,51,7, 
[heal/dead],3.737933540254354,539,454,52,7, 
[heal/dead],3.79626663636052,540,453,53,7, 
[heal/dead],3.852902195941337,541,452,54,7, 
[heal/dead],3.909382213494854,542,451,55,7, 
[sick],3.9474817731999394,541,452,55,7, 
[heal/dead],4.004691645272857,542,451,56,7, 
[heal/dead],4.063167212286698,543,450,57,7, 
[heal/dead],4.120001109092325,544,449,58,7, 
[heal/dead],4.176936134532911,545,448,59,7, 
[sick],4.228285789567185,544,449,59,7, 
[sick],4.277541675845402,543,450,59,7, 
[heal/dead],4.33441939019395,544,449,60,7, 
[sick],4.364381831280225,543,450,60,7, 
[heal/dead],4.421356396653257,544,449,61,7, 
[heal/dead],4.479191491726526,545,448,62,7, 
[heal/dead],4.535754894470996,546,447,63,7, 
[heal/dead],4.593267857180901,547,446,64,7, 
[heal/dead],4.650868669627548,548,445,65,7, 
[heal/dead],4.707397020255196,549,444,66,7, 
[heal/dead],4.764093418805578,550,443,67,7, 
[heal/dead],4.821262135006361,551,442,68,7, 
[heal/dead],4.879361052039771,552,441,69,7, 
[heal/dead],4.935830789596708,553,440,70,7, 
[heal/dead],4.993680616167766,554,439,71,7, 
[heal/dead],5.050626254143258,555,438,72,7, 
[heal/dead],5.1078122629022555,556,437,73,7, 
[heal/dead],5.166712736535405,557,436,74,7, 
[heal/dead],5.223841801711863,558,435,75,7, 
[heal/dead],5.280434831242367,559,434,76,7, 
[heal/dead],5.33815190485566,560,433,77,7, 
