Event,Time,Healthy People,Ill People,Recoverd people,RIP,
[heal/dead],0.054243369570235636,501,499,1,0, 
[heal/dead],0.10819063674079271,501,498,1,1, 
[heal/dead],0.16300959797059195,502,497,2,1, 
[heal/dead],0.21698017327510533,503,496,3,1, 
[heal/dead],0.27093670195406544,504,495,4,1, 
[heal/dead],0.3249193131426892,505,494,5,1, 
[heal/dead],0.3789163019334665,506,493,6,1, 
[heal/dead],0.4335755925584692,507,492,7,1, 
[sick],0.43975006127752936,506,493,7,1, 
[sick],0.46843719969658637,505,494,7,1, 
[heal/dead],0.5225239876253136,506,493,8,1, 
[heal/dead],0.5771097288104674,507,492,9,1, 
[sick],0.6159434237795003,506,493,9,1, 
[sick],0.6355654025085921,505,494,9,1, 
[heal/dead],0.6895252484218028,506,493,10,1, 
[heal/dead],0.7440596153596145,507,492,11,1, 
[heal/dead],0.7991680582378696,508,491,12,1, 
[heal/dead],0.854714803371463,508,490,12,2, 
[sick],0.898540934928753,507,491,12,2, 
[sick],0.9204874342271409,506,492,12,2, 
[heal/dead],0.9748234951212413,507,491,13,2, 
[heal/dead],1.029052539773071,508,490,14,2, 
[heal/dead],1.083219629696183,509,489,15,2, 
[heal/dead],1.1373177488560262,510,488,16,2, 
[sick],1.1554405137943078,509,489,16,2, 
[heal/dead],1.2095735466988538,509,488,16,3, 
[heal/dead],1.2641302553881963,510,487,17,3, 
[heal/dead],1.3189353854557777,511,486,18,3, 
[heal/dead],1.3729648672498107,512,485,19,3, 
[heal/dead],1.4273077406850398,513,484,20,3, 
[sick],1.461176563890432,512,485,20,3, 
[heal/dead],1.5157053927811743,513,484,21,3, 
[sick],1.5698846138135505,512,485,21,3, 
[heal/dead],1.624200497618188,513,484,22,3, 
[heal/dead],1.678629267031212,514,483,23,3, 
[heal/dead],1.7327438571238702,515,482,24,3, 
[heal/dead],1.7878733007322436,516,481,25,3, 
[heal/dead],1.8422220065960417,516,480,25,4, 
[heal/dead],1.8963555689116938,517,479,26,4, 
[heal/dead],1.9504736302114356,518,478,27,4, 
[heal/dead],2.0048417870554562,519,477,28,4, 
[heal/dead],2.05882723064524,520,476,29,4, 
[heal/dead],2.1144118102611853,521,475,30,4, 
[heal/dead],2.1685431392260455,522,474,31,4, 
[heal/dead],2.2227839087218553,522,473,31,5, 
[sick],2.263868049046717,521,474,31,5, 
[heal/dead],2.3179406866695103,522,473,32,5, 
[heal/dead],2.374298532857369,523,472,33,5, 
[heal/dead],2.4287786132065814,524,471,34,5, 
[heal/dead],2.4838243840911556,525,470,35,5, 
[sick],2.5182341838297337,524,471,35,5, 
[heal/dead],2.572249990664246,524,470,35,6, 
[sick],2.585680023337712,523,471,35,6, 
[heal/dead],2.6396892133165175,524,470,36,6, 
[sick],2.673692155502511,523,471,36,6, 
[heal/dead],2.72787069437648,524,470,37,6, 
[sick],2.763924523099813,523,471,37,6, 
[sick],2.785509425683045,522,472,37,6, 
[heal/dead],2.839625248284713,523,471,38,6, 
[heal/dead],2.8943398444453026,524,470,39,6, 
[sick],2.9234675350500336,523,471,39,6, 
[heal/dead],2.9777510614257685,524,470,40,6, 
[heal/dead],3.0327683262753644,525,469,41,6, 
[sick],3.085727437641797,524,470,41,6, 
[heal/dead],3.1402679825023854,525,469,42,6, 
[heal/dead],3.1942235152261356,526,468,43,6, 
[heal/dead],3.248440642170214,527,467,44,6, 
[heal/dead],3.302445914346431,528,466,45,6, 
[heal/dead],3.3577400847752163,529,465,46,6, 
[heal/dead],3.412213425914715,530,464,47,6, 
[heal/dead],3.468726769921724,531,463,48,6, 
[heal/dead],3.522864255624255,532,462,49,6, 
[heal/dead],3.5769920378265225,533,461,50,6, 
[heal/dead],3.6317426772061263,534,460,51,6, 
[heal/dead],3.686870062309683,535,459,52,6, 
[heal/dead],3.741931809766032,536,458,53,6, 
[heal/dead],3.7960118529126343,537,457,54,6, 
[heal/dead],3.850069378978137,538,456,55,6, 
[heal/dead],3.9041311066505493,539,455,56,6, 
[heal/dead],3.958136724225636,540,454,57,6, 
[heal/dead],4.01287674405497,541,453,58,6, 
[heal/dead],4.068229580981269,542,452,59,6, 
[heal/dead],4.122523783686565,543,451,60,6, 
[heal/dead],4.176587648048633,544,450,61,6, 
[heal/dead],4.230967305094795,545,449,62,6, 
[sick],4.259519264354528,544,450,62,6, 
[heal/dead],4.313666685483066,545,449,63,6, 
[heal/dead],4.369207068526804,546,448,64,6, 
[heal/dead],4.423282954144052,547,447,65,6, 
[sick],4.441613261996887,546,448,65,6, 
[heal/dead],4.49640815358565,547,447,66,6, 
[sick],4.522892846958533,546,448,66,6, 
[heal/dead],4.577315626807736,547,447,67,6, 
[heal/dead],4.63284730439553,548,446,68,6, 
[sick],4.647513676071817,547,447,68,6, 
[heal/dead],4.703017256344816,548,446,69,6, 
[heal/dead],4.759171748725314,549,445,70,6, 
[heal/dead],4.813411494254176,550,444,71,6, 
[heal/dead],4.869275847525522,551,443,72,6, 
[heal/dead],4.926053220772904,551,442,72,7, 
[heal/dead],4.982170590185924,552,441,73,7, 
[sick],5.007021805831323,551,442,73,7, 
[sick],5.029462705052817,550,443,73,7, 
[heal/dead],5.0848793842199465,551,442,74,7, 
[heal/dead],5.1410616826287185,552,441,75,7, 
[heal/dead],5.195738439947918,553,440,76,7, 
[sick],5.2462237138564864,552,441,76,7, 
[heal/dead],5.300807651212339,552,440,76,8, 
[heal/dead],5.354983001415296,552,439,76,9, 
[heal/dead],5.409802457023019,553,438,77,9, 
[sick],5.431176250529371,552,439,77,9, 
