Event,Time,Healthy People,Ill People,Recoverd people,RIP,
[heal/dead],0.9339589597354381,501,499,1,0, 
[sick],1.1554694467719284,500,500,1,0, 
[sick],1.3390134253309687,499,501,1,0, 
[heal/dead],2.2543585354545534,500,500,2,0, 
[heal/dead],3.202589736043153,501,499,3,0, 
[sick],3.6194752486970794,500,500,3,0, 
[sick],3.747327278509294,499,501,3,0, 
[heal/dead],4.660453674033806,500,500,4,0, 
[sick],4.741308629409604,499,501,4,0, 
[heal/dead],5.677792866568441,500,500,5,0, 
[heal/dead],6.597745604049945,501,499,6,0, 
[sick],6.7819718321521405,500,500,6,0, 
[heal/dead],7.709122962660689,501,499,7,0, 
[heal/dead],8.622719746773178,502,498,8,0, 
[heal/dead],9.546654318773566,503,497,9,0, 
[heal/dead],10.464920202879433,504,496,10,0, 
[heal/dead],11.389174031680621,505,495,11,0, 
[heal/dead],12.302028281053111,506,494,12,0, 
[heal/dead],13.21963481917023,507,493,13,0, 
[heal/dead],14.153285546053258,507,492,13,1, 
[heal/dead],15.064705955278527,508,491,14,1, 
[heal/dead],15.977561617444543,509,490,15,1, 
[heal/dead],16.89995761480723,510,489,16,1, 
[heal/dead],17.82036402462221,511,488,17,1, 
[heal/dead],18.73511859039911,512,487,18,1, 
[heal/dead],19.64895305807435,513,486,19,1, 
[heal/dead],20.567149653873393,514,485,20,1, 
[heal/dead],21.48262986804689,515,484,21,1, 
[heal/dead],22.422101395333442,516,483,22,1, 
[heal/dead],23.335606788976552,517,482,23,1, 
[heal/dead],24.24851101896247,518,481,24,1, 
[heal/dead],25.16736190606859,518,480,24,2, 
[heal/dead],26.083529655720216,519,479,25,2, 
[heal/dead],26.995731391427622,520,478,26,2, 
[heal/dead],27.92599316216465,521,477,27,2, 
[heal/dead],28.84765970944477,521,476,27,3, 
[heal/dead],29.760668794371025,522,475,28,3, 
[heal/dead],30.688888958373447,523,474,29,3, 
