Event,Time,Healthy People,Ill People,Recoverd people,RIP,
[heal/dead],0.0006719221547442818,900,99,0,1, 
[heal/dead],0.0013442546690643252,900,98,0,2, 
[heal/dead],0.002019464074176373,901,97,0,2, 
[heal/dead],0.002689186690685238,902,96,0,2, 
[heal/dead],0.003420152044416064,903,95,0,2, 
[heal/dead],0.004192643347680823,903,94,0,3, 
[heal/dead],0.004863636615600475,903,93,0,4, 
[heal/dead],0.005599183777451719,903,92,0,5, 
[heal/dead],0.00629909288115363,904,91,0,5, 
[heal/dead],0.006979781974145121,905,90,0,5, 
[heal/dead],0.007670159746688708,905,89,0,6, 
[heal/dead],0.008594113008600652,906,88,0,6, 
[heal/dead],0.00926952491756703,906,87,0,7, 
[heal/dead],0.00995546109450457,906,86,0,8, 
[heal/dead],0.01064779723525449,906,85,0,9, 
[heal/dead],0.01137210869070451,907,84,0,9, 
[heal/dead],0.012062326907911865,907,83,0,10, 
[heal/dead],0.01276109069770085,908,82,0,10, 
[heal/dead],0.013435785106840141,909,81,0,10, 
[heal/dead],0.014126716692925572,910,80,0,10, 
[heal/dead],0.014970167452715902,910,79,0,11, 
[heal/dead],0.015774672330715195,911,78,0,11, 
[heal/dead],0.016572818217010413,912,77,0,11, 
[heal/dead],0.017249323999180326,912,76,0,12, 
[heal/dead],0.018012613715253197,913,75,0,12, 
[heal/dead],0.018699368295438817,914,74,0,12, 
[sick],0.019139160059015982,913,75,0,12, 
[heal/dead],0.019837855053461136,913,74,0,13, 
[heal/dead],0.020523236091282777,914,73,0,13, 
[heal/dead],0.02121295570554839,914,72,0,14, 
[heal/dead],0.021946910080229004,915,71,0,14, 
[heal/dead],0.022656618740770164,915,70,0,15, 
[heal/dead],0.02337583558674853,915,69,0,16, 
[heal/dead],0.024043530214636243,916,68,0,16, 
[heal/dead],0.024717651620165666,917,67,0,16, 
[heal/dead],0.025436449771730204,917,66,0,17, 
[heal/dead],0.02613097581554242,917,65,0,18, 
[heal/dead],0.02689702588590622,917,64,0,19, 
[heal/dead],0.0276483041761957,918,63,0,19, 
[heal/dead],0.028429731028577848,919,62,0,19, 
[heal/dead],0.029257382171731683,920,61,0,19, 
[heal/dead],0.029953260886459426,921,60,0,19, 
[heal/dead],0.030667341629201997,922,59,0,19, 
[heal/dead],0.031355400817608105,923,58,0,19, 
[heal/dead],0.032039698130678244,923,57,0,20, 
[heal/dead],0.03273209796807443,924,56,0,20, 
[heal/dead],0.03343945660650964,925,55,0,20, 
[heal/dead],0.03412180442008214,926,54,0,20, 
[heal/dead],0.034795960600794165,926,53,0,21, 
[heal/dead],0.03547630596109831,926,52,0,22, 
[heal/dead],0.03621685959588093,927,51,0,22, 
[heal/dead],0.03691290152419423,928,50,0,22, 
[heal/dead],0.03767154842712536,929,49,0,22, 
[heal/dead],0.038441118938036124,930,48,0,22, 
[heal/dead],0.03913231900988408,931,47,0,22, 
[heal/dead],0.039975761889020224,932,46,0,22, 
[heal/dead],0.04064840100861924,932,45,0,23, 
[heal/dead],0.04134591915426494,933,44,0,23, 
[heal/dead],0.04219271559430225,933,43,0,24, 
[heal/dead],0.04296654992089332,934,42,0,24, 
[heal/dead],0.043744922600830585,935,41,0,24, 
[heal/dead],0.04457933964096202,936,40,0,24, 
[heal/dead],0.045248067216967974,937,39,0,24, 
[heal/dead],0.04591902875361831,937,38,0,25, 
[heal/dead],0.046601108584261815,938,37,0,25, 
[heal/dead],0.047370393333900904,939,36,0,25, 
[heal/dead],0.04810146178214568,939,35,0,26, 
[heal/dead],0.048825236038407854,940,34,0,26, 
[heal/dead],0.049580753733078624,941,33,0,26, 
[heal/dead],0.05061543536531321,942,32,0,26, 
[heal/dead],0.05132462995716058,943,31,0,26, 
[heal/dead],0.05208731394303404,943,30,0,27, 
[heal/dead],0.052802307707432695,943,29,0,28, 
[heal/dead],0.05351663883123234,943,28,0,29, 
[heal/dead],0.054441288038912995,943,27,0,30, 
[heal/dead],0.055323936264060264,943,26,0,31, 
[heal/dead],0.056085762524458835,944,25,0,31, 
[heal/dead],0.05710740423367365,944,24,0,32, 
[heal/dead],0.05808592721948225,945,23,0,32, 
[heal/dead],0.0589091009287475,946,22,0,32, 
[heal/dead],0.05958858638021839,946,21,0,33, 
[heal/dead],0.06030024792266237,946,20,0,34, 
[heal/dead],0.06097121951804429,946,19,0,35, 
[heal/dead],0.06191571749019283,946,18,0,36, 
[heal/dead],0.06259906709955908,946,17,0,37, 
[heal/dead],0.06343529320345788,946,16,0,38, 
[heal/dead],0.06434727816325062,946,15,0,39, 
[heal/dead],0.06512662154480107,946,14,0,40, 
[heal/dead],0.06585325550291425,947,13,0,40, 
[heal/dead],0.06680785970678589,948,12,0,40, 
[heal/dead],0.06760545934899041,949,11,0,40, 
[heal/dead],0.06828255546987495,949,10,0,41, 
[heal/dead],0.0693259877329293,950,9,0,41, 
[heal/dead],0.07006883199241182,950,8,0,42, 
[heal/dead],0.0713399018497566,950,7,0,43, 
[heal/dead],0.07211340445626022,950,6,0,44, 
[heal/dead],0.07293711410109135,950,5,0,45, 
[heal/dead],0.07397525327000469,951,4,0,45, 
[heal/dead],0.07545788482719741,952,3,0,45, 
[heal/dead],0.07619681181784214,953,2,0,45, 
[heal/dead],0.07737577934779603,954,1,0,45, 
[heal/dead],0.07896596160129261,954,0,0,46, 
