Event,Time,Healthy People,Ill People,Recoverd people,RIP
[Sick],0.006030910982353427,666,334,0,0 
[Sick],0.007606618743833906,665,335,0,0 
[heal/dead],0.007923548129284487,665,334,0,1 
[heal/dead],0.01433442505252043,666,333,1,1 
[heal/dead],0.01652427759887053,667,332,2,1 
[heal/dead],0.016777456108460796,668,331,3,1 
[Sick],0.018038801489522343,667,332,3,1 
[Sick],0.01890689887308491,666,333,3,1 
[heal/dead],0.023282915046692526,666,332,3,2 
[Sick],0.02341070190587652,665,333,3,2 
[Sick],0.025747664162752492,664,334,3,2 
[heal/dead],0.026735257979420328,665,333,4,2 
[Sick],0.029733330008580392,664,334,4,2 
[heal/dead],0.030855364115770906,665,333,5,2 
[heal/dead],0.03131506252239577,666,332,6,2 
[heal/dead],0.03157026588698142,666,331,6,3 
[heal/dead],0.03168374677827183,667,330,7,3 
[heal/dead],0.03357109516297523,667,329,7,4 
[Sick],0.034361408188867966,666,330,7,4 
[Sick],0.037116033622067876,665,331,7,4 
[heal/dead],0.038642310919498206,666,330,8,4 
[Sick],0.03999401015942602,665,331,8,4 
[heal/dead],0.04812667164382345,666,330,9,4 
[Sick],0.05662534557798032,665,331,9,4 
[Sick],0.05991429336497811,664,332,9,4 
[Sick],0.0624650596437617,663,333,9,4 
[heal/dead],0.07267674770585912,664,332,10,4 
[heal/dead],0.07395194604618914,665,331,11,4 
[Sick],0.07396489682663894,664,332,11,4 
[Sick],0.07403785147037721,663,333,11,4 
[heal/dead],0.07457871608098957,664,332,12,4 
[Sick],0.07482978679800263,663,333,12,4 
[Sick],0.07489191141347461,662,334,12,4 
[heal/dead],0.07735507895358361,663,333,13,4 
[heal/dead],0.07850623848985863,663,332,13,5 
[heal/dead],0.07865238890225501,664,331,14,5 
[Sick],0.08011227511744737,663,332,14,5 
[Sick],0.08236580080707506,662,333,14,5 
[Sick],0.08310993335199834,661,334,14,5 
[Sick],0.08356061015451761,660,335,14,5 
[Sick],0.09133196177081122,659,336,14,5 
[heal/dead],0.091982732376613,660,335,15,5 
[heal/dead],0.09506700674521845,660,334,15,6 
[heal/dead],0.0975010973097451,661,333,16,6 
[heal/dead],0.0998300896060609,662,332,17,6 
[heal/dead],0.10042856796168272,663,331,18,6 
[Sick],0.10065692815574429,662,332,18,6 
[Sick],0.10186826727122385,661,333,18,6 
[Sick],0.10266008077244038,660,334,18,6 
[heal/dead],0.10377910629373384,661,333,19,6 
[heal/dead],0.10499063383583389,662,332,20,6 
[Sick],0.10533313569650816,661,333,20,6 
[Sick],0.10714067888083988,660,334,20,6 
[heal/dead],0.11031140520635671,661,333,21,6 
[Sick],0.11212736004807973,660,334,21,6 
[Sick],0.11253041513409855,659,335,21,6 
[Sick],0.11624243573943237,658,336,21,6 
[Sick],0.11847378218163253,657,337,21,6 
[heal/dead],0.11902461920061827,658,336,22,6 
[heal/dead],0.12055983362552947,659,335,23,6 
[heal/dead],0.12197666289727241,660,334,24,6 
[heal/dead],0.1221899859883555,661,333,25,6 
[heal/dead],0.12492926615228676,662,332,26,6 
[heal/dead],0.12553544607899708,663,331,27,6 
[Sick],0.12569043450048772,662,332,27,6 
[Sick],0.12775446224788423,661,333,27,6 
[Sick],0.12828829803129216,660,334,27,6 
[heal/dead],0.1298320662271634,661,333,28,6 
[heal/dead],0.13150152243424976,662,332,29,6 
[Sick],0.1353388953335722,661,333,29,6 
[heal/dead],0.13777578838418778,662,332,30,6 
[heal/dead],0.1382213409184412,663,331,31,6 
[Sick],0.1385953078847727,662,332,31,6 
[Sick],0.13948854470162,661,333,31,6 
[Sick],0.13950554808186275,660,334,31,6 
[Sick],0.14119598570525857,659,335,31,6 
[Sick],0.14199202293147015,658,336,31,6 
[Sick],0.14268678389922373,657,337,31,6 
[Sick],0.1427592293101557,656,338,31,6 
[Sick],0.14805167990748608,655,339,31,6 
[Sick],0.14816695159809393,654,340,31,6 
[heal/dead],0.1503035944233094,655,339,32,6 
[Sick],0.15373462107106917,654,340,32,6 
[heal/dead],0.15389719125930762,655,339,33,6 
[heal/dead],0.1561299254693962,656,338,34,6 
[heal/dead],0.15699614192738015,656,337,34,7 
[Sick],0.15797869316461496,655,338,34,7 
[heal/dead],0.15874705725722452,655,337,34,8 
[Sick],0.15885846803314652,654,338,34,8 
[Sick],0.16044484900779632,653,339,34,8 
[heal/dead],0.16192445330840136,654,338,35,8 
[Sick],0.16537685760457016,653,339,35,8 
[heal/dead],0.1665357400018906,654,338,36,8 
[heal/dead],0.1685857486563057,654,337,36,9 
[heal/dead],0.16954552958152672,655,336,37,9 
[heal/dead],0.16997251785482345,655,335,37,10 
[Sick],0.17059349060546414,654,336,37,10 
[heal/dead],0.1733711612952826,655,335,38,10 
[Sick],0.1764692259363894,654,336,38,10 
[heal/dead],0.17680530380803042,655,335,39,10 
[heal/dead],0.1796639078865136,656,334,40,10 
[heal/dead],0.17982473111063998,657,333,41,10 
[heal/dead],0.1816355494196817,658,332,42,10 
[heal/dead],0.18200920821044117,658,331,42,11 
[Sick],0.18280856623482256,657,332,42,11 
[Sick],0.18541017148476047,656,333,42,11 
[heal/dead],0.18637418137224301,656,332,42,12 
[heal/dead],0.1897131287439323,656,331,42,13 
[Sick],0.19064250916266648,655,332,42,13 
[Sick],0.19220109521660267,654,333,42,13 
[Sick],0.19289234495316102,653,334,42,13 
[Sick],0.19588049960373108,652,335,42,13 
[heal/dead],0.19749018102265725,652,334,42,14 
[heal/dead],0.1986594672113789,653,333,43,14 
[heal/dead],0.1990362959828426,654,332,44,14 
[Sick],0.20123974355668903,653,333,44,14 
[heal/dead],0.20176060831241233,654,332,45,14 
[heal/dead],0.20425817209427963,655,331,46,14 
[heal/dead],0.2058774343416836,656,330,47,14 
[heal/dead],0.20652912191406664,657,329,48,14 
[heal/dead],0.20698157073321194,657,328,48,15 
[heal/dead],0.20709835178063388,658,327,49,15 
[Sick],0.20808120700312926,657,328,49,15 
[heal/dead],0.20858909196760705,658,327,50,15 
[Sick],0.2094776495481541,657,328,50,15 
[Sick],0.21167064888118373,656,329,50,15 
[heal/dead],0.21210961180127963,657,328,51,15 
[heal/dead],0.2131277914732944,657,327,51,16 
[heal/dead],0.21360734740594575,658,326,52,16 
[heal/dead],0.2140298658694823,658,325,52,17 
[heal/dead],0.2144815861687253,659,324,53,17 
[heal/dead],0.21474637743047387,660,323,54,17 
[heal/dead],0.2153390708000049,661,322,55,17 
[heal/dead],0.2204470033914356,662,321,56,17 
[heal/dead],0.2285430293816033,663,320,57,17 
[heal/dead],0.22934557337533384,664,319,58,17 
[heal/dead],0.23029276168925705,665,318,59,17 
[Sick],0.2305630921743259,664,319,59,17 
[heal/dead],0.23104972030624216,665,318,60,17 
[Sick],0.23107212596209425,664,319,60,17 
[Sick],0.23113742402255802,663,320,60,17 
[heal/dead],0.2349354158304311,664,319,61,17 
[Sick],0.2353864191378542,663,320,61,17 
[heal/dead],0.2357250180645085,664,319,62,17 
[heal/dead],0.2467718811239245,665,318,63,17 
[Sick],0.24743723006093515,664,319,63,17 
[Sick],0.2480746353574323,663,320,63,17 
[heal/dead],0.25072246536939613,663,319,63,18 
[heal/dead],0.25216456581198393,664,318,64,18 
[Sick],0.25276565990580624,663,319,64,18 
[heal/dead],0.2528986915003174,664,318,65,18 
[heal/dead],0.2533885180655924,665,317,66,18 
[Sick],0.2538886839314893,664,318,66,18 
[heal/dead],0.256426125976365,665,317,67,18 
[Sick],0.25667330474396605,664,318,67,18 
[Sick],0.2651499126808951,663,319,67,18 
[heal/dead],0.26684349165843974,664,318,68,18 
[Sick],0.27231852177024507,663,319,68,18 
[heal/dead],0.27377162495811197,663,318,68,19 
[heal/dead],0.27463757131716204,664,317,69,19 
[heal/dead],0.28163380572812285,664,316,69,20 
[Sick],0.28392524151189136,663,317,69,20 
[heal/dead],0.2863803013286012,664,316,70,20 
[heal/dead],0.28739482914013237,665,315,71,20 
[heal/dead],0.289446899693624,666,314,72,20 
[heal/dead],0.2903387889164655,667,313,73,20 
[heal/dead],0.2941689284665806,668,312,74,20 
[Sick],0.2979829252335593,667,313,74,20 
[heal/dead],0.3039962389800881,668,312,75,20 
[heal/dead],0.3042477785050201,669,311,76,20 
[Sick],0.30908286815750174,668,312,76,20 
[Sick],0.30963740522406535,667,313,76,20 
[heal/dead],0.311121690714923,667,312,76,21 
[Sick],0.3124529290684257,666,313,76,21 
[heal/dead],0.3154534001236128,667,312,77,21 
[Sick],0.3155092396223166,666,313,77,21 
[Sick],0.32166080596375946,665,314,77,21 
[Sick],0.32283972064331606,664,315,77,21 
[heal/dead],0.32319058151052893,665,314,78,21 
[Sick],0.3242878676352902,664,315,78,21 
[heal/dead],0.3252876121240599,665,314,79,21 
[Sick],0.32567193758883245,664,315,79,21 
[heal/dead],0.32837986945646147,665,314,80,21 
[heal/dead],0.3291179984085692,666,313,81,21 
[heal/dead],0.33080378092992296,667,312,82,21 
[heal/dead],0.33122656110468757,668,311,83,21 
[Sick],0.3314390467612084,667,312,83,21 
[heal/dead],0.33532766661028607,667,311,83,22 
[Sick],0.338583262112142,666,312,83,22 
[heal/dead],0.34144981895711324,667,311,84,22 
[Sick],0.3425157581709947,666,312,84,22 
[Sick],0.3441700340363699,665,313,84,22 
[heal/dead],0.3449409623301654,666,312,85,22 
[heal/dead],0.34546143522586154,667,311,86,22 
[heal/dead],0.3479558620103314,668,310,87,22 
[heal/dead],0.34972019256804476,668,309,87,23 
[heal/dead],0.352700657230565,669,308,88,23 
[Sick],0.35612756331944867,668,309,88,23 
[heal/dead],0.35650605073826713,669,308,89,23 
[Sick],0.3588598076208808,668,309,89,23 
[Sick],0.3596309412735303,667,310,89,23 
[heal/dead],0.36189288541697423,668,309,90,23 
[heal/dead],0.36376585441426185,669,308,91,23 
[Sick],0.36742158138363584,668,309,91,23 
[heal/dead],0.37124333074529337,668,308,91,24 
[Sick],0.37420166372520974,667,309,91,24 
[Sick],0.3778760624900452,666,310,91,24 
[heal/dead],0.37885987894322254,667,309,92,24 
[heal/dead],0.3798728645587352,667,308,92,25 
[heal/dead],0.38253336144736894,668,307,93,25 
[Sick],0.3827067316076068,667,308,93,25 
[heal/dead],0.3831930267995585,667,307,93,26 
[Sick],0.38373613479575125,666,308,93,26 
[heal/dead],0.38639700971266944,667,307,94,26 
[Sick],0.3870771803926313,666,308,94,26 
[heal/dead],0.38760407872497354,667,307,95,26 
[Sick],0.3961003712104807,666,308,95,26 
[Sick],0.3979017883187161,665,309,95,26 
[Sick],0.3993074720578888,664,310,95,26 
[Sick],0.3998896394731064,663,311,95,26 
[Sick],0.4000883362838983,662,312,95,26 
[heal/dead],0.4002019217782249,663,311,96,26 
[heal/dead],0.40118494988690223,663,310,96,27 
[heal/dead],0.40175749035241154,663,309,96,28 
[heal/dead],0.4035986385793625,664,308,97,28 
[Sick],0.40526312003779874,663,309,97,28 
[Sick],0.4056591251240028,662,310,97,28 
[Sick],0.4060812379828589,661,311,97,28 
[Sick],0.40671780150225556,660,312,97,28 
[Sick],0.40819339478354844,659,313,97,28 
[heal/dead],0.41012236343004405,660,312,98,28 
[heal/dead],0.41414046906040713,660,311,98,29 
